,Clothing ID,Division Name,Department Name,Class Name
13021,347,Initmates,Intimate,Intimates
13054,98,Initmates,Intimate,Intimates
13179,167,General,Bottoms,Shorts
13193,263,Initmates,Intimate,Layering
13277,1040,General,Bottoms,Jeans
13287,710,Initmates,Intimate,Lounge
13305,789,Initmates,Intimate,Lounge
13328,980,General Petite,Jackets,Jackets
13346,803,Initmates,Intimate,Lounge
13354,393,Initmates,Intimate,Swim
13374,1153,General,Dresses,Dresses
13386,811,Initmates,Intimate,Lounge
13430,10,Initmates,Intimate,Chemises
13432,244,Initmates,Intimate,Sleep
13459,253,Initmates,Intimate,Swim
13476,1168,Initmates,Intimate,Swim
13504,611,General Petite,Bottoms,Pants
13588,698,Initmates,Intimate,Lounge
13608,1124,General Petite,Jackets,Outerwear
13640,436,Initmates,Intimate,Lounge
13655,280,Initmates,Intimate,Swim
13667,806,General Petite,Intimate,Lounge
13675,500,Initmates,Intimate,Swim
13678,669,General Petite,Intimate,Lounge
13767,492,,,
13890,281,Initmates,Intimate,Swim
13910,420,Initmates,Intimate,Lounge
13952,128,General Petite,Intimate,Lounge
13957,343,Initmates,Intimate,Layering
13970,757,Initmates,Intimate,Intimates
14023,621,General Petite,Intimate,Lounge
14062,25,General,Tops,Knits
14066,654,Initmates,Intimate,Swim
14088,93,Initmates,Intimate,Sleep
14099,686,Initmates,Intimate,Sleep
14130,180,Initmates,Intimate,Sleep
14134,680,General,Bottoms,Shorts
14138,534,Initmates,Intimate,Swim
14147,606,General,Bottoms,Shorts
14154,1129,General,Jackets,Outerwear
14166,761,Initmates,Intimate,Lounge
14252,848,General,Tops,Blouses
14255,185,Initmates,Intimate,Legwear
14256,402,Initmates,Intimate,Swim
14267,139,Initmates,Intimate,Layering
14289,1073,General Petite,Dresses,Dresses
14305,677,Initmates,Intimate,Lounge
14333,432,Initmates,Intimate,Swim
14355,174,Initmates,Intimate,Swim
14375,581,Initmates,Intimate,Lounge
14377,713,Initmates,Intimate,Lounge
14390,1158,Initmates,Intimate,Intimates
14447,378,Initmates,Intimate,Swim
14473,480,General,Bottoms,Shorts
14479,109,Initmates,Intimate,Layering
14515,642,Initmates,Intimate,Lounge
14517,40,Initmates,Intimate,Intimates
14530,1112,General Petite,Jackets,Outerwear
14539,1162,Initmates,Intimate,Lounge
14544,564,General,Trend,Trend
14552,758,Initmates,Intimate,Intimates
14560,740,Initmates,Intimate,Swim
14570,441,Initmates,Intimate,Swim
14591,332,General,Bottoms,Shorts
14600,882,General,Tops,Knits
14631,82,Initmates,Intimate,Lounge
14739,349,Initmates,Intimate,Intimates
14746,0,General,Jackets,Outerwear
14765,194,General Petite,Intimate,Lounge
14845,466,Initmates,Intimate,Swim
14860,382,Initmates,Intimate,Swim
14880,445,Initmates,Intimate,Swim
14964,220,Initmates,Intimate,Swim
14969,1127,General,Jackets,Outerwear
14981,644,Initmates,Intimate,Intimates
15007,438,General,Bottoms,Shorts
15013,1163,Initmates,Intimate,Sleep
15024,386,Initmates,Intimate,Intimates
15025,1200,General,Dresses,Dresses
15055,897,General,Tops,Fine gauge
15056,187,Initmates,Intimate,Legwear
15062,1136,General,Trend,Trend
15072,750,Initmates,Intimate,Swim
15103,394,Initmates,Intimate,Swim
15211,362,Initmates,Intimate,Intimates
15312,65,General,Bottoms,Shorts
15319,557,Initmates,Intimate,Layering
15348,395,Initmates,Intimate,Swim
15350,577,General,Bottoms,Shorts
15351,249,General Petite,Intimate,Lounge
15416,27,Initmates,Intimate,Intimates
15418,578,Initmates,Intimate,Layering
15434,737,Initmates,Intimate,Intimates
15439,11,General,Bottoms,Jeans
15453,85,Initmates,Intimate,Intimates
15460,503,Initmates,Intimate,Intimates
15475,256,General Petite,Intimate,Lounge
15479,193,Initmates,Intimate,Sleep
15531,1194,General,Dresses,Dresses
15532,482,Initmates,Intimate,Lounge
15533,852,General,Tops,Blouses
15543,579,General,Bottoms,Shorts
15563,274,Initmates,Intimate,Lounge
15570,100,Initmates,Intimate,Intimates
15613,597,General,Trend,Trend
15619,953,General,Tops,Sweaters
15629,925,General,Tops,Sweaters
15630,981,General Petite,Jackets,Jackets
15631,513,Initmates,Intimate,Swim
15664,221,Initmates,Intimate,Swim
15809,672,Initmates,Intimate,Sleep
15831,1178,Initmates,Intimate,Intimates
15837,328,Initmates,Intimate,Lounge
15841,64,Initmates,Intimate,Sleep
15855,707,Initmates,Intimate,Lounge
15883,601,Initmates,Intimate,Swim
15903,94,Initmates,Intimate,Lounge
15917,233,Initmates,Intimate,Intimates
15981,727,Initmates,Intimate,Lounge
16068,390,Initmates,Intimate,Swim
16106,763,Initmates,Intimate,Lounge
16204,108,Initmates,Intimate,Lounge
16216,152,,,
16219,268,Initmates,Intimate,Sleep
16222,358,Initmates,Intimate,Intimates
16230,887,General,Tops,Knits
16238,568,General,Trend,Trend
16250,584,Initmates,Intimate,Swim
16262,1181,General Petite,Tops,Knits
16270,344,Initmates,Intimate,Swim
16295,364,General Petite,Intimate,Lounge
16351,199,Initmates,Intimate,Swim
16384,3,General,Tops,Sweaters
16411,773,Initmates,Intimate,Intimates
16427,541,General,Bottoms,Shorts
16441,729,Initmates,Intimate,Swim
16454,123,Initmates,Intimate,Sleep
16475,1032,General,Bottoms,Jeans
16480,331,Initmates,Intimate,Lounge
16501,671,Initmates,Intimate,Sleep
16522,454,Initmates,Intimate,Lounge
16578,553,Initmates,Intimate,Sleep
16580,786,Initmates,Intimate,Sleep
16590,919,General Petite,Tops,Fine gauge
16600,142,Initmates,Intimate,Legwear
16606,73,Initmates,Intimate,Intimates
16629,145,Initmates,Intimate,Sleep
16642,591,Initmates,Intimate,Layering
16651,417,General,Bottoms,Shorts
16662,62,General Petite,Intimate,Lounge
16668,425,Initmates,Intimate,Lounge
16685,421,General Petite,Intimate,Lounge
16688,26,General,Dresses,Dresses
16695,8,Initmates,Intimate,Swim
16697,989,General,Bottoms,Skirts
16762,401,Initmates,Intimate,Swim
16765,571,General,Trend,Trend
16770,37,Initmates,Intimate,Intimates
16813,528,General,Bottoms,Shorts
16953,1183,General,Tops,Knits
17052,229,Initmates,Intimate,Legwear
17053,226,Initmates,Intimate,Sleep
17055,821,General,Tops,Blouses
17062,130,Initmates,Intimate,Layering
17103,447,General,Bottoms,Shorts
17104,223,Initmates,Intimate,Legwear
17127,1205,General,Bottoms,Pants
17165,446,General,Bottoms,Shorts
17180,524,Initmates,Intimate,Swim
17185,97,Initmates,Intimate,Sleep
17263,653,Initmates,Intimate,Lounge
17265,623,Initmates,Intimate,Lounge
17301,236,Initmates,Intimate,Swim
17319,293,Initmates,Intimate,Swim
17341,551,General,Trend,Trend
17377,696,Initmates,Intimate,Lounge
17458,276,Initmates,Intimate,Lounge
17463,389,Initmates,Intimate,Swim
17467,320,Initmates,Intimate,Sleep
17475,1113,General,Jackets,Outerwear
17505,450,General,Bottoms,Shorts
17556,29,General Petite,Dresses,Dresses
17561,515,Initmates,Intimate,Swim
17603,616,Initmates,Intimate,Lounge
17610,1191,General,Bottoms,Pants
17630,92,Initmates,Intimate,Intimates
17639,1179,General Petite,Tops,Blouses
17646,714,Initmates,Intimate,Intimates
17658,58,Initmates,Intimate,Intimates
17679,66,Initmates,Intimate,Sleep
17681,240,Initmates,Intimate,Swim
17758,679,Initmates,Intimate,Swim
17772,36,General,Bottoms,Shorts
17785,159,Initmates,Intimate,Lounge
17796,278,Initmates,Intimate,Lounge
17878,419,General Petite,Intimate,Lounge
17892,286,Initmates,Intimate,Swim
17920,43,Initmates,Intimate,Intimates
17921,474,General,Bottoms,Shorts
17925,339,Initmates,Intimate,Lounge
17968,53,General,Bottoms,Shorts
17980,504,Initmates,Intimate,Sleep
18014,76,Initmates,Intimate,Legwear
18053,765,Initmates,Intimate,Lounge
18065,19,General,Jackets,Outerwear
18092,84,Initmates,Intimate,Intimates
18120,617,Initmates,Intimate,Swim
18129,391,Initmates,Intimate,Swim
18136,81,Initmates,Intimate,Legwear
18137,650,Initmates,Intimate,Lounge
18141,192,Initmates,Intimate,Lounge
18166,33,Initmates,Intimate,Intimates
18179,483,Initmates,Intimate,Sleep
18181,812,Initmates,Intimate,Lounge
18189,1106,General Petite,Dresses,Dresses
18194,350,General,Bottoms,Shorts
18201,290,Initmates,Intimate,Lounge
18207,325,Initmates,Intimate,Sleep
18212,607,General,Bottoms,Shorts
18235,1007,General Petite,Bottoms,Skirts
18243,361,Initmates,Intimate,Intimates
18245,231,Initmates,Intimate,Sleep
18262,595,Initmates,Intimate,Lounge
18314,1150,General,Dresses,Dresses
18327,1132,General Petite,Jackets,Outerwear
18454,660,Initmates,Intimate,Swim
18463,440,Initmates,Intimate,Lounge
18466,222,Initmates,Intimate,Swim
18469,297,Initmates,Intimate,Legwear
18472,892,General,Tops,Fine gauge
18518,24,Initmates,Intimate,Swim
18540,809,Initmates,Intimate,Lounge
18542,712,Initmates,Intimate,Lounge
18567,1034,General Petite,Bottoms,Jeans
18572,604,General,Bottoms,Shorts
18574,586,General,Bottoms,Shorts
18583,958,General,Jackets,Jackets
18590,44,Initmates,Intimate,Intimates
18591,526,General,Bottoms,Shorts
18600,309,Initmates,Intimate,Lounge
18626,184,,,
18638,723,Initmates,Intimate,Lounge
18649,101,Initmates,Intimate,Intimates
18694,163,Initmates,Intimate,Legwear
18710,161,Initmates,Intimate,Legwear
18712,922,General,Tops,Sweaters
18774,755,Initmates,Intimate,Lounge
18792,779,5,1,0
18797,550,General,Trend,Trend
18806,31,Initmates,Intimate,Swim
18824,156,Initmates,Intimate,Legwear
18832,1069,General,Bottoms,Pants
18844,99,Initmates,Intimate,Intimates
18848,188,Initmates,Intimate,Legwear
18874,140,1,Initmates,Intimate
18877,202,Initmates,Intimate,Intimates
18879,674,General Petite,Intimate,Lounge
18905,23,General Petite,Dresses,Dresses
18934,69,Initmates,Intimate,Layering
18937,673,General Petite,Intimate,Lounge
18955,42,Initmates,Intimate,Intimates
18975,810,Initmates,Intimate,Lounge
19005,182,Initmates,Intimate,Legwear
19019,467,Initmates,Intimate,Swim
19022,905,General,Tops,Fine gauge
19023,326,General,Bottoms,Shorts
19030,748,Initmates,Intimate,Intimates
19066,452,Initmates,Intimate,Sleep
19072,39,Initmates,Intimate,Intimates
19087,1121,General,Jackets,Outerwear
19093,1071,General Petite,Dresses,Dresses
19098,426,0,Initmates,Intimate
19099,453,General,Bottoms,Shorts
19183,1149,General Petite,Dresses,Dresses
19228,443,Initmates,Intimate,Swim
19244,542,General,Bottoms,Shorts
19261,195,Initmates,Intimate,Lounge
19263,351,Initmates,Intimate,Sleep
19289,1190,General Petite,Bottoms,Jeans
19299,566,General,Trend,Trend
19368,556,Initmates,Intimate,Swim
19402,9,General,Bottoms,Jeans
19424,770,Initmates,Intimate,Lounge
19440,353,Initmates,Intimate,Intimates
19473,559,General,Trend,Trend
19474,735,General Petite,Intimate,Lounge
19480,982,General,Jackets,Jackets
19502,383,General,Bottoms,Shorts
19540,780,Initmates,Intimate,Lounge
19544,1198,General,Dresses,Dresses
19547,1157,Initmates,Intimate,Swim
19570,590,General Petite,Bottoms,Pants
19589,849,General Petite,Tops,Blouses
19600,479,General,Bottoms,Shorts
19603,535,Initmates,Intimate,Swim
19648,237,Initmates,Intimate,Swim
19690,277,Initmates,Intimate,Swim
19720,470,Initmates,Intimate,Swim
19734,533,General,Bottoms,Shorts
19735,490,General Petite,Bottoms,Pants
19737,269,Initmates,Intimate,Swim
19749,459,Initmates,Intimate,Swim
19752,307,Initmates,Intimate,Lounge
19760,46,Initmates,Intimate,Intimates
19761,388,Initmates,Intimate,Intimates
19843,742,Initmates,Intimate,Lounge
19844,856,General,Tops,Knits
19853,250,Initmates,Intimate,Sleep
19894,241,Initmates,Intimate,Swim
19931,165,Initmates,Intimate,Lounge
19939,1141,General,Trend,Trend
19944,536,Initmates,Intimate,Swim
19945,514,Initmates,Intimate,Swim
19979,1186,General,Tops,Knits
20004,275,Initmates,Intimate,Lounge
20009,893,General,Tops,Fine gauge
20010,1180,General,Tops,Blouses
20018,95,Initmates,Intimate,Intimates
20066,49,Initmates,Intimate,Intimates
20075,778,Initmates,Intimate,Lounge
20088,772,,,
20104,508,Initmates,Intimate,Sleep
20105,520,Initmates,Intimate,Layering
20170,16,General,Dresses,Dresses
20199,706,Initmates,Intimate,Lounge
20208,355,Initmates,Intimate,Swim
20209,685,Initmates,Intimate,Sleep
20230,700,Initmates,Intimate,Intimates
20238,614,General,Bottoms,Shorts
20277,242,Initmates,Intimate,Swim
20333,372,0,Initmates,Intimate
20366,322,Initmates,Intimate,Swim
20376,718,Initmates,Intimate,Lounge
20422,461,Initmates,Intimate,Swim
20543,499,Initmates,Intimate,Layering
20545,489,General Petite,Bottoms,Pants
20554,1017,General,Bottoms,Skirts
20557,756,General Petite,Intimate,Lounge
20561,198,Initmates,Intimate,Swim
20575,106,Initmates,Intimate,Sleep
20580,924,General,Tops,Sweaters
20585,67,Initmates,Intimate,Layering
20586,814,Initmates,Intimate,Sleep
20599,228,Initmates,Intimate,Legwear
20600,666,Initmates,Intimate,Sleep
20607,416,Initmates,Intimate,Swim
20632,168,Initmates,Intimate,Sleep
20662,726,Initmates,Intimate,Lounge
20680,699,Initmates,Intimate,Legwear
20685,476,Initmates,Intimate,Layering
20686,638,Initmates,Intimate,Legwear
20707,369,Initmates,Intimate,Intimates
20753,317,Initmates,Intimate,Swim
20772,656,Initmates,Intimate,Lounge
20782,166,Initmates,Intimate,Layering
20823,537,General,Bottoms,Shorts
20905,722,Initmates,Intimate,Sleep
20954,469,Initmates,Intimate,Swim
20976,493,Initmates,Intimate,Lounge
20993,913,General,Tops,Fine gauge
21085,213,Initmates,Intimate,Swim
21109,532,Initmates,Intimate,Lounge
21132,1061,General,Bottoms,Pants
21138,266,Initmates,Intimate,Lounge
21139,599,Initmates,Intimate,Swim
21189,289,Initmates,Intimate,Swim
21195,1143,General,Trend,Trend
21196,314,Initmates,Intimate,Swim
21205,120,Initmates,Intimate,Swim
21229,484,Initmates,Intimate,Sleep
21251,531,Initmates,Intimate,Lounge
21275,1193,General,Dresses,Dresses
21285,15,Initmates,Intimate,Layering
21302,239,Initmates,Intimate,Swim
21337,802,Initmates,Intimate,Lounge
21345,795,Initmates,Intimate,Lounge
21401,884,General Petite,Tops,Knits
21406,1169,Initmates,Intimate,Swim
21415,610,Initmates,Intimate,Swim
21427,200,Initmates,Intimate,Sleep
21435,576,General,Bottoms,Shorts
21471,367,Initmates,Intimate,Lounge
21527,408,Initmates,Intimate,Swim
21530,529,General,Bottoms,Shorts
21532,665,,,
21660,75,General,Bottoms,Shorts
21687,190,General Petite,Intimate,Lounge
21693,51,Initmates,Intimate,Layering
21738,600,Initmates,Intimate,Swim
21760,608,Initmates,Intimate,Layering
21777,539,General Petite,Intimate,Lounge
21810,354,Initmates,Intimate,Swim
21836,962,General,Jackets,Jackets
21877,1203,Initmates,Intimate,Layering
21889,41,Initmates,Intimate,Legwear
21910,587,General,Bottoms,Shorts
21930,171,Initmates,Intimate,Layering
21934,915,General,Tops,Fine gauge
21956,567,General,Trend,Trend
22084,582,General,Bottoms,Shorts
22097,169,Initmates,Intimate,Legwear
22153,530,General,Bottoms,Shorts
22207,527,Initmates,Intimate,Swim
22216,784,Initmates,Intimate,Legwear
22217,717,General,Bottoms,Shorts
22247,957,General Petite,Jackets,Jackets
22252,296,Initmates,Intimate,Layering
22253,357,General,Bottoms,Shorts
22263,1185,1,0,General
22274,451,General Petite,Intimate,Lounge
22319,32,Initmates,Intimate,Intimates
22326,316,General,Bottoms,Shorts
22330,449,General,Bottoms,Shorts
22389,214,Initmates,Intimate,Sleep
22403,1188,General Petite,Tops,Fine gauge
22422,6,General,Tops,Sweaters
22431,291,Initmates,Intimate,Swim
22444,768,Initmates,Intimate,Lounge
22451,694,Initmates,Intimate,Intimates
22454,311,Initmates,Intimate,Lounge
22470,658,Initmates,Intimate,Lounge
22483,259,Initmates,Intimate,Sleep
22490,1155,Initmates,Intimate,Swim
22572,224,Initmates,Intimate,Swim
22595,544,Initmates,Intimate,Swim
22602,455,Initmates,Intimate,Lounge
22649,657,Initmates,Intimate,Lounge
22672,310,Initmates,Intimate,Lounge
22742,1,Initmates,Intimate,Layering
22758,1159,Initmates,Intimate,Layering
22770,335,General Petite,Intimate,Lounge
22784,497,Initmates,Intimate,Lounge
22812,271,General,Bottoms,Shorts
22835,7,General,Jackets,Outerwear
22912,637,Initmates,Intimate,Legwear
22980,217,Initmates,Intimate,Lounge
22993,298,General Petite,Intimate,Lounge
22997,136,,,
23009,681,Initmates,Intimate,Lounge
23020,643,General,Trend,Trend
23041,687,Initmates,Intimate,Intimates
23043,60,Initmates,Intimate,Lounge
23060,709,Initmates,Intimate,Lounge
23062,1167,Initmates,Intimate,Swim
23067,655,Initmates,Intimate,Swim
23142,749,General,Bottoms,Shorts
23160,400,Initmates,Intimate,Swim
23187,507,Initmates,Intimate,Sleep
23188,55,General,Bottoms,Shorts
23203,631,General Petite,Intimate,Lounge
23209,1161,Initmates,Intimate,Intimates
23234,227,Initmates,Intimate,Layering
23239,487,Initmates,Intimate,Legwear
23249,387,Initmates,Intimate,Intimates
23305,640,General Petite,Intimate,Lounge
23318,345,Initmates,Intimate,Swim
23368,630,General,Bottoms,Shorts
23425,430,Initmates,Intimate,Intimates
23435,262,General Petite,Intimate,Lounge
23438,181,Initmates,Intimate,Legwear
23439,721,General Petite,Intimate,Lounge
23476,522,Initmates,Intimate,Swim
